,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,broken hill,0,AU,1562281329,81,-31.97,141.45,48.2,11.41
1,vestmannaeyjar,6,IS,1562281330,81,63.44,-20.27,51.32,13.87
2,hobart,20,AU,1562281063,93,-42.88,147.33,41.0,5.82
3,leningradskiy,100,RU,1562281333,98,69.38,178.42,35.93,4.29
4,provideniya,75,RU,1562281334,81,64.42,-173.23,50.0,13.42
5,new norfolk,20,AU,1562281335,93,-42.78,147.06,44.01,5.82
6,avarua,35,CK,1562281187,73,-21.21,-159.78,71.6,19.46
7,punta arenas,75,CL,1562281338,82,-53.16,-70.91,35.6,8.05
8,madison heights,1,US,1562281339,69,42.49,-83.11,88.0,5.3
9,namibe,0,AO,1562281340,75,-15.19,12.15,69.82,5.7
10,jamestown,0,AU,1562281342,66,-33.21,138.6,57.89,14.83
11,castro,90,CL,1562281343,81,-42.48,-73.76,44.6,2.24
12,rikitea,69,PF,1562281344,66,-23.12,-134.97,67.56,22.01
13,busselton,41,AU,1562281345,98,-33.64,115.35,46.99,22.88
14,dhidhdhoo,80,MV,1562281347,78,6.88,73.1,82.64,11.81
15,nago,0,IT,1562281348,73,45.88,10.89,78.8,4.7
16,aswan,0,EG,1562281349,15,24.09,32.9,87.8,13.87
17,mandera,28,ET,1562281350,66,3.94,41.86,76.92,16.46
18,hovd,75,NO,1562281351,87,63.83,10.7,51.01,23.04
19,kamsack,40,CA,1562281353,46,51.56,-101.9,71.6,11.41
20,barrow,42,AR,1562281354,81,-38.31,-60.23,37.66,10.56
21,matamoros,40,US,1562281355,66,25.87,-97.51,93.2,23.04
22,albany,1,US,1562281357,51,42.65,-73.75,91.4,3.36
23,cabo frio,40,BR,1562281358,88,-22.88,-42.02,73.4,4.7
24,sitka,0,US,1562281359,41,37.17,-99.65,95.0,11.99
25,kempsey,57,AU,1562281360,97,-31.08,152.84,59.0,1.01
26,portland,1,US,1562281116,51,43.66,-70.25,84.2,5.82
